codigo_municipio_4d,Departamento,Municipio,maga_department,maga_municipality,mapped_area_ha,agricultural_land_ha,maize_bean_ha,A,total,agricultural_share_pct,agricultural_land_share_of_mapped_pct,maize_bean_share_of_agricultural_land_pct,ag_workers_per_100_agricultural_ha,historical_mean_may_aug_mm,historical_sd_may_aug_mm,rain_2026_may_aug_mm,rainfall_z_score_vs_1981_2025,z_2015_common,z_2026_common,impact_composite,impact_composite_2015
0304,Sacatepéquez,Sumpango,Sacatepéquez,Sumpango,5099.999999643133,3414.496215277479,495.848382491748,6318,14512,43.53638368246968,66.95090618659617,14.521860656139367,185.03461716347422,791.7566790943899,163.07981547651625,354.0711321346513,-2.683873204546065,-1.328310891624589,-2.683873204546065,496.60945091848794,245.78349730582892
0409,Chimaltenango,Patzicía,Chimaltenango,Patzicía,6469.471182964284,4311.8857047094925,82.99281134071,7235,12740,56.789638932496075,66.64973972005244,1.9247451584828486,167.79201712368786,887.3120102312872,161.5301684122741,419.6740858943718,-2.895050063610169,-1.1966248734367029,-2.895050063610169,485.7662898472111,200.78410125432205
0707,Sololá,Santa Clara La Laguna,Sololá,Santa Clara La Laguna,1399.7178504884034,441.56835169105403,116.701165447305,826,3248,25.43103448275862,31.546954376339322,26.428788431140934,187.06050758318747,1465.2036463075349,287.3942095803723,733.434886324318,-2.5462195673729164,-1.5273839688246498,-2.5462195673729164,476.29712469102174,285.7132204827624
0306,Sacatepéquez,Santiago Sacatepéquez,Sacatepéquez,Santiago Sacatepéquez,4000.0000000848236,2143.6436321764777,379.15144202760087,3829,13232,28.937424425634823,53.5910908032755,17.6872422419692,178.62110765642288,775.5974746731882,162.81505442021967,361.76958743849474,-2.5417053030404606,-1.2860560053730332,-2.5417053030404606,454.00221656529106,229.71674818792573
0410,Chimaltenango,Santa Cruz Balanyá,Chimaltenango,Santa Cruz Balanyá,1979.8293779454093,1415.76650684822,5.19622811937,2247,3989,56.32990724492354,71.50952110415939,0.3670257838587978,158.71261179940416,639.4036458665408,122.5060484514632,290.8025381654734,-2.8455828271955323,-1.21987880466665,-2.8455828271955323,451.62988259573547,193.6101511673792
0807,Totonicapán,Santa Lucía La Reforma,Totonicapán,Santa Lucía La Reforma,4539.992220676609,1130.402522077403,916.492817335695,2533,5469,46.31559700127994,24.89877663069951,81.07667838987174,224.07947173940892,587.8163376011979,136.76948524516544,314.7880288786272,-1.9962662594887688,-1.621557548637253,-1.9962662594887688,447.3222888774491,363.35775889368654
0101,Guatemala,Guatemala,Guatemala,Guatemala,21466.42055406609,2151.445350765659,381.695070068622,3677,433053,0.8490877560021521,10.022375856035021,17.741332352819647,170.9083616133417,805.9353880763103,168.58441163415105,375.6612106864924,-2.5522773619399994,-1.4579781279334738,-2.5522773619399994,436.2055423119872,249.1806531131971
0413,Chimaltenango,San Andrés Itzapa,Chimaltenango,San Andrés Itzapa,6760.758188938088,2930.3445950995692,1360.976390299885,4359,11807,36.91877699669688,43.34343150882369,46.44424388093649,148.75383623105552,850.4597466304372,156.30765321516728,402.530928093858,-2.865687055770565,-1.152516426346217,-2.865687055770565,426.28194298355027,171.44123973830654
1406,Quiché,Chichicastenango,Quiché,Chichicastenango,24558.999999986307,9934.070968954058,6618.295777133552,16786,48257,34.78459083656257,40.44981867730607,66.62219142400974,168.97402940304713,800.6836977957643,171.47348210335065,376.3216112375678,-2.474797160195444,-1.5459700656218898,-2.474797160195444,418.1764481134425,261.2287913246239
0407,Chimaltenango,Patzún,Chimaltenango,Patzún,18410.921056063897,7336.472331685787,447.36688477273,10772,21864,49.26820343944384,39.84848074327827,6.097847365150947,146.82806004019633,916.9119148679318,173.08210726476085,429.3250317428252,-2.817084277690548,-1.382673318691082,-2.817084277690548,413.6270194630409,203.01524105275172
