municipality_id,department,municipality,corredor_seco_160,historical_mean_may_aug_mm,historical_median_may_aug_mm,historical_sd_may_aug_mm,historical_min_may_aug_mm,historical_max_may_aug_mm,historical_p10_may_aug_mm,historical_p20_may_aug_mm,historical_p80_may_aug_mm,historical_p90_may_aug_mm,rain_2026_may_aug_mm,rainfall_anomaly_pct_vs_historical_median,rainfall_historical_percentile,rainfall_z_score_vs_1981_2025,chirps_2026_status
306,Sacatepéquez,Santiago Sacatepéquez,1,775.5974746731882,755.7944422890781,162.81505442021967,553.7325768797263,1387.0752489102963,598.954274893585,643.2588383671645,918.8945296699288,970.6842533491637,361.76958743849474,-52.133865083368235,0.0,-2.5417053030404606,FINAL
307,Sacatepéquez,San Bartolomé Milpas Altas,1,719.6066482916153,706.1708279959857,146.39322856487334,521.4503421831907,1289.9833927628165,567.0167133617875,599.2948072498565,852.4293717693963,887.2026193209405,341.8040888034924,-51.59753486653015,0.0,-2.580737942538796,FINAL
308,Sacatepéquez,San Lucas Sacatepéquez,0,725.9762011225885,711.9619447065028,148.85370529187512,523.7317825463009,1286.6485682971654,571.4036105269251,606.1470898420857,863.0969045068047,907.2110472158755,340.5414462558425,-52.16858867418449,0.0,-2.589352775001323,FINAL
309,Sacatepéquez,Santa Lucía Milpas Altas,0,669.6792800983123,663.2885101217321,132.8006168235905,482.88015178495044,1197.0538587553233,534.0842778447143,560.1567403686655,773.837658290597,817.728640667718,324.51074494216965,-51.0754762082924,0.0,-2.5991485838853987,FINAL
310,Sacatepéquez,Magdalena Milpas Altas,0,630.1849154482805,619.0515892782608,123.36504196439411,458.41519036636083,1115.677394607061,513.2103792499593,524.7172062505862,724.2371488374931,771.8735202844467,299.9384107805216,-51.54872130605246,0.0,-2.676986117048259,FINAL
311,Sacatepéquez,Santa María De Jesús,0,726.5518227355706,712.9902328350416,135.44881171951408,517.8621806778468,1244.348980075077,583.8094169910557,598.000929231678,838.9562895598303,866.3793998228253,352.24300882925337,-50.59637669528233,0.0,-2.763470636283113,FINAL
312,Sacatepéquez,Ciudad Vieja,1,793.8592450768402,775.3026761468965,147.458611349329,567.7905414715907,1393.4806057659473,641.1248089695988,665.2281624071214,918.8310429506881,946.5690252099491,374.00699353724,-51.75987326704687,0.0,-2.84725488527063,FINAL
313,Sacatepéquez,San Miguel Dueñas,1,995.3007053904802,975.8424810070668,178.0989055862011,743.0161799875464,1737.9191028258929,794.2157826000193,834.5161666943793,1117.4642340101334,1187.662349853695,470.9237521344822,-51.741827057119906,0.0,-2.9443019401497437,FINAL
314,Sacatepéquez,Alotenango,0,1292.4140039749363,1263.3968676012828,225.18995712839185,1007.7766656201384,2290.396736664467,1077.008664402999,1110.1645350519425,1426.7717497807296,1501.9663350259473,679.6412929912086,-46.20524156581195,0.0,-2.7211369405535075,FINAL
315,Sacatepéquez,San Antonio Aguas Calientes,1,746.1007177910299,721.664221766302,145.22642163423063,510.6470652398459,1292.673725434308,587.9497355120428,617.3311423410205,858.9107072068922,902.6405025008205,334.6225304007186,-53.631824842069,0.0,-2.833356236144592,FINAL
316,Sacatepéquez,Santa Catarina Barahona,1,813.601703348977,794.301049887457,150.8322437110738,585.4619430638816,1411.1306341143456,651.0350327454811,681.9239149559436,918.1471973296892,988.025200354422,371.81721892210624,-53.18938342398158,0.0,-2.928979066791114,FINAL
401,Chimaltenango,Chimaltenango,0,749.512736867835,721.4545933597799,154.63552760171504,510.0538270405754,1299.2027633665311,583.4238200227317,633.7130466965468,853.9387363070523,914.507659635329,340.28009547309296,-52.83416328553338,0.0,-2.646433505557511,FINAL
402,Chimaltenango,San José Poaquil,1,709.0320780503096,698.6423607963467,141.40927988794732,509.9079730114167,1234.6622721525384,541.6304437667607,588.8603636977616,811.03890475076,873.0614108030752,332.68570136958704,-52.38111514017335,0.0,-2.6613980141822324,FINAL
403,Chimaltenango,San Martín Jilotepeque,1,739.4113865795837,701.604440828034,151.6626684184607,513.9959777666918,1271.0401883513373,589.2396826855015,624.727116361772,863.919465673492,931.6146168390339,346.17276368886377,-50.659838572243,0.0,-2.5928504818714773,FINAL
404,Chimaltenango,Comalapa,1,648.3139105815285,627.0907321366636,127.81696212756934,467.47793863734677,1149.5387066128246,500.36663394520326,541.4299464232688,735.8643134780248,799.1126655651273,302.67929816025975,-51.732774437767326,0.0,-2.704137280905673,FINAL
405,Chimaltenango,Santa Apolonia,0,661.7249161806004,657.1506472384403,134.54131993168744,479.096773046493,1163.4289406164987,501.09345265044465,534.0548756155375,759.5445922194639,815.7201924061113,315.98459542583936,-51.91595766454634,0.0,-2.5697705428362725,FINAL
406,Chimaltenango,Tecpán Guatemala,0,704.4997923126705,690.4193169860496,140.01891200488507,500.8414770228038,1219.4964863623134,539.2779675329053,597.9352039689801,806.8575535416383,856.7223465068023,333.64315559792163,-51.67528668600922,0.0,-2.6486181859619804,FINAL
407,Chimaltenango,Patzún,0,916.9119148679318,909.4169523442768,173.08210726476085,662.8304087258314,1645.4281749150184,727.4523706145682,773.3036538776487,1008.1052631547759,1095.1770433298789,429.3250317428252,-52.7911778380511,0.0,-2.8170842776905474,FINAL
408,Chimaltenango,Pochuta,0,1769.1927153780148,1740.7513336797567,328.22629837531855,1294.8144324828706,3182.8615552406604,1427.3689047120045,1534.2730692828968,1983.285889828613,2100.021129158237,896.8129128256749,-48.48127383421784,0.0,-2.657860771274322,FINAL
409,Chimaltenango,Patzicía,0,887.3120102312872,872.3938064406719,161.53016841227407,658.4360812353561,1584.4249904929054,727.5393191139786,755.4123241558336,999.0865304125772,1059.3767949193932,419.6740858943718,-51.89396316250531,0.0,-2.8950500636101695,FINAL
410,Chimaltenango,Santa Cruz Balanyá,0,639.4036458665408,635.0795505775494,122.50604845146319,463.1715158233405,1148.2978603630786,498.4883710143376,535.7806621943058,726.3610393975422,781.8105180714139,290.8025381654734,-54.21006110163461,0.0,-2.8455828271955323,FINAL
411,Chimaltenango,Acatenango,0,1690.587958278603,1679.9850671707131,301.3902945300818,1290.3569411420629,3005.452738233524,1383.4719254560391,1444.0222549371651,1889.1314636496725,2004.3761814380532,874.7175901483682,-47.93301397485082,0.0,-2.707022697603166,FINAL
412,Chimaltenango,Yepocapa,0,2115.3146263656317,2055.159789134792,395.8743354680076,1485.8741541786262,3797.1853570030953,1682.4432305133641,1795.4555361543585,2363.8984937725327,2481.3000240039005,1170.2336206344792,-43.05875256896013,0.0,-2.3873257775447,FINAL
413,Chimaltenango,San Andrés Itzapa,1,850.4597466304372,840.861270224303,156.30765321516728,625.5691067050223,1500.4283499573864,676.0036354088874,722.027611423283,960.1233076965306,1013.8462173237411,402.530928093858,-52.128734864137414,0.0,-2.865687055770565,FINAL
414,Chimaltenango,Parramos,1,798.4335508041568,783.6544526426499,147.67331471128813,574.9877205341155,1385.1889859286887,637.4714601006687,675.9946842893472,897.2180656662811,964.3342031865077,364.84978536429765,-53.44251740879587,0.0,-2.9361009894546375,FINAL
415,Chimaltenango,Zaragoza,0,721.3780456783431,707.26346993879,141.0502285495799,513.9359624638981,1274.259913940701,568.225229988209,608.0866259670028,815.7350158405794,882.6176324723734,334.2033243454258,-52.74698347217771,0.0,-2.7449421763738817,FINAL
416,Chimaltenango,El Tejar,0,768.1955765744727,738.4771872865766,164.3513856963441,518.2551200642613,1327.1733217794197,596.1466822558207,638.3794594170528,882.7058843849245,950.0702465120709,340.673241054795,-53.86814285942296,0.0,-2.6012700392412187,FINAL
501,Escuintla,Escuintla,0,1624.0461351283082,1571.1873511672766,277.59480938491146,1252.1496204985244,2821.390092484369,1326.6792707808424,1393.0361103281898,1805.1528720293534,1846.4598419001984,925.9664483081466,-41.06581575900407,0.0,-2.5147432992963785,FINAL
502,Escuintla,Santa Lucía Cotzumalguapa,0,1838.199956400591,1795.1184958701201,347.2304426541072,1299.1096520448816,3324.199139319046,1483.4921867858575,1560.5115949678352,2060.7262697821593,2101.563728074373,966.5525419918953,-46.156616166812256,0.0,-2.5102851228887935,FINAL
503,Escuintla,La Democracia,0,1310.040899393983,1255.1504849464034,256.6638791278997,961.5171113027894,2414.1765382470317,1052.2194928894623,1086.944452876807,1468.0635791611494,1539.977350372451,711.4706918762043,-43.315905111841225,0.0,-2.3321170456537113,FINAL
504,Escuintla,Siquinalá,0,2273.242644334534,2186.716206136632,415.076240489882,1650.616262181388,4060.175073005231,1829.024314067797,1984.0218548313007,2557.321647813912,2627.6346576435435,1307.739776931391,-40.1961821446491,0.0,-2.3260856036077504,FINAL
505,Escuintla,Masagua,0,1213.3284212260087,1158.1921515426263,241.55757094219354,872.5271355136256,2208.0212947616105,965.3732085638103,1000.2415601251342,1386.6816178415818,1435.2862707346442,675.6957643139905,-41.65944196616997,0.0,-2.225691601447166,FINAL
506,Escuintla,Tiquisate,1,1099.3330593701887,1119.221147502282,216.54027105385555,679.8157645553117,1921.681664336277,874.0165697771154,905.9468062077959,1252.4751558458945,1270.917347434206,518.0604294920137,-53.71241593780219,0.0,-2.684362714839344,FINAL
507,Escuintla,La Gomera,1,1192.8089121952646,1151.1834787419027,235.2033963522672,801.470453701641,2195.9836014175844,933.639220405382,993.0856590871897,1353.4290326342334,1430.847723042163,570.4316482921026,-50.448242280586584,0.0,-2.6461236255747744,FINAL
