municipality_id,department,municipality,year,rain_may_aug_mm,reference_start,reference_end,reference_n,historical_mean_mm,historical_sd_mm,rainfall_z_score_common,focal_data_status
1004,Suchitepéquez,San Bernardino,2015,1188.9565153497947,1981,2025,45,1723.8960394736398,319.5531279483426,-1.674023745467204,FINAL
1005,Suchitepéquez,San José El Ídolo,2015,1082.668029696562,1981,2025,45,1619.3346127686227,327.15710558669144,-1.6403940917305024,FINAL
1006,Suchitepéquez,Santo Domingo Suchitepéquez,2015,883.9583954361473,1981,2025,45,1352.5979063413479,273.22131149226936,-1.7152377621848158,FINAL
1007,Suchitepéquez,San Lorenzo,2015,699.9191435686027,1981,2025,45,1104.0018040192015,232.6083146418275,-1.7371806380731019,FINAL
1008,Suchitepéquez,Samayac,2015,1211.9129450006976,1981,2025,45,1746.6888791660695,313.8681426147742,-1.7038235537708861,FINAL
1009,Suchitepéquez,San Pablo Jocopilas,2015,1262.8157386410408,1981,2025,45,1812.852720916473,337.1960968303216,-1.6312080342739343,FINAL
1010,Suchitepéquez,San Antonio Suchitepéquez,2015,1176.557237483835,1981,2025,45,1711.2380979792338,332.41965185148695,-1.6084514183122807,FINAL
1011,Suchitepéquez,San Miguel Panán,2015,1200.1265442993201,1981,2025,45,1745.6555993277145,340.7127948350453,-1.601140501026708,FINAL
1012,Suchitepéquez,San Gabriel,2015,1268.542101403511,1981,2025,45,1767.1736324052554,331.2003191366025,-1.5055285342164342,FINAL
1013,Suchitepéquez,Chicacao,2015,1419.138669224522,1981,2025,45,2060.3438909403435,398.84357474031793,-1.6076609034840346,FINAL
1014,Suchitepéquez,Patulul,2015,1100.4855160891943,1981,2025,45,1608.9321072333648,305.24718117958776,-1.6656880799991183,FINAL
1015,Suchitepéquez,Santa Bárbara,2015,1138.994420603718,1981,2025,45,1633.9436003797866,328.517677969249,-1.5066135339675646,FINAL
1016,Suchitepéquez,San Juan Bautista,2015,1100.2639284972013,1981,2025,45,1564.6664893757536,313.9148725966849,-1.4793901194838024,FINAL
1017,Suchitepéquez,Santo Tomás La Unión,2015,1472.111895468767,1981,2025,45,2121.9580953684012,396.6460686889938,-1.6383528066911768,FINAL
1018,Suchitepéquez,Zunilito,2015,1416.6009612096968,1981,2025,45,1993.3848520560318,349.9310223871798,-1.6482788148121226,FINAL
1019,Suchitepéquez,Pueblo Nuevo,2015,1427.7672651892158,1981,2025,45,1985.7581929688865,347.40839170400017,-1.606152704149679,FINAL
1020,Suchitepéquez,Río Bravo,2015,1178.9718593127823,1981,2025,45,1769.7559169716574,356.22842430425106,-1.6584416552742363,FINAL
1021,Suchitepéquez,San José La Máquina,2015,815.0965259294777,1981,2025,45,1244.585003925121,256.5799450245832,-1.6738973030588717,FINAL
1101,Retalhuleu,Retalhuleu,2015,889.2043947941675,1981,2025,45,1147.3564532371104,231.7696433934576,-1.1138303302503594,FINAL
1102,Retalhuleu,San Sebastián,2015,1377.4173712042793,1981,2025,45,1771.16158802208,291.58789772176715,-1.3503448527672124,FINAL
1103,Retalhuleu,Santa Cruz Muluá,2015,1164.1413628802627,1981,2025,45,1554.0333846647304,285.80517530420144,-1.3641881095031947,FINAL
1104,Retalhuleu,San Martín Zapotitlán,2015,1630.0807543220128,1981,2025,45,2174.8352723695793,364.0777721460596,-1.496258656046224,FINAL
1105,Retalhuleu,San Felipe,2015,1602.828903004761,1981,2025,45,2119.9933910459954,350.6397481871449,-1.474916893235992,FINAL
1106,Retalhuleu,San Andrés Villa Seca,2015,834.3121698593866,1981,2025,45,1224.0561879484032,247.24728014941272,-1.576332883635737,FINAL
1107,Retalhuleu,Champerico,2015,582.9200256779184,1981,2025,45,801.5435589001503,174.86334297399617,-1.250253652389245,FINAL
1108,Retalhuleu,Nuevo San Carlos,2015,1579.0467994814235,1981,2025,45,1985.6321424329813,314.50555570929794,-1.292776345507138,FINAL
1109,Retalhuleu,El Asintal,2015,1477.2010651157457,1981,2025,45,1807.4721276052312,311.74488134747486,-1.0594273787653987,FINAL
1201,San Marcos,San Marcos,2015,816.0591015249149,1981,2025,45,979.7020398915536,169.1414295732993,-0.9674917539686644,FINAL
1202,San Marcos,San Pedro Sacatepéquez,2015,783.5366803696138,1981,2025,45,955.4579343304346,156.03531522301358,-1.1018098929405962,FINAL
1203,San Marcos,San Antonio Sacatepéquez,2015,732.9824547800262,1981,2025,45,903.2722328967008,144.46166888061038,-1.178788667168242,FINAL
1204,San Marcos,Comitancillo,2015,533.3598138251958,1981,2025,45,647.69303218483,118.35530710005204,-0.9660168281510372,FINAL
1205,San Marcos,San Miguel Ixtahuacán,2015,510.22887614550183,1981,2025,45,627.0080649971014,121.86376622002629,-0.9582765449801836,FINAL
1206,San Marcos,Concepción Tutuapa,2015,532.2758133737298,1981,2025,45,650.6753892134221,122.19846927649952,-0.9689121029150426,FINAL
1207,San Marcos,Tacaná,2015,804.6047608082639,1981,2025,45,985.93943125203,161.68547798418888,-1.1215272559079095,FINAL
1208,San Marcos,Sibinal,2015,1582.2218138453745,1981,2025,45,1906.618333400135,331.083281643202,-0.979803383441005,FINAL
1209,San Marcos,Tajumulco,2015,1501.7574833122233,1981,2025,45,1798.5691032325765,297.0494111595041,-0.9991994892761353,FINAL
1210,San Marcos,Tejutla,2015,593.9221583260239,1981,2025,45,702.2801155049535,127.39895539367237,-0.8505403897865204,FINAL
1211,San Marcos,San Rafael Pie De La Cuesta,2015,1612.3978883726359,1981,2025,45,1979.0455401370632,362.165139907718,-1.0123769832122758,FINAL
1212,San Marcos,Nuevo Progreso,2015,1906.7626073190627,1981,2025,45,2225.2021584556433,337.1848153526557,-0.9444065587696475,FINAL
1213,San Marcos,El Tumbador,2015,1976.5219575000258,1981,2025,45,2352.4240542313696,371.64538335788393,-1.0114536963569942,FINAL
1214,San Marcos,El Rodeo,2015,1891.7944817981984,1981,2025,45,2244.5190803124037,310.6689740567264,-1.135371176298409,FINAL
1215,San Marcos,Malacatán,2015,1781.055749676443,1981,2025,45,2082.884575975125,330.54856958908454,-0.9131149067560477,FINAL
1216,San Marcos,Catarina,2015,1674.0895320810655,1981,2025,45,1884.003814918656,334.6401908015692,-0.6272835379838246,FINAL
1217,San Marcos,Ayutla,2015,1097.959132843396,1981,2025,45,1242.697315943184,242.77726609015602,-0.5961768390868986,FINAL
1218,San Marcos,Ocós,2015,601.8043666677055,1981,2025,45,723.1510412383967,173.500497010978,-0.6994024608644964,FINAL
1219,San Marcos,San Pablo,2015,1726.5437672593646,1981,2025,45,2073.318760119843,313.2209882862844,-1.1071256583339986,FINAL
1220,San Marcos,El Quetzal,2015,1685.4850995573636,1981,2025,45,1987.5068616203944,285.08255908545624,-1.0594185874853776,FINAL
1221,San Marcos,La Reforma,2015,1730.1566543435001,1981,2025,45,2058.6994939099272,304.7642938629192,-1.0780227414508188,FINAL
1222,San Marcos,Pajapita,2015,1450.2652908090972,1981,2025,45,1593.8752375600538,291.2402869811861,-0.49309780676130743,FINAL
1223,San Marcos,Ixchiguán,2015,939.4416782280915,1981,2025,45,1069.425492239335,179.00384059355378,-0.7261509785501462,FINAL
