codigo_municipio_4d,Departamento,Municipio,maga_department,maga_municipality,mapped_area_ha,agricultural_land_ha,maize_bean_ha,A,total,agricultural_share_pct,agricultural_land_share_of_mapped_pct,maize_bean_share_of_agricultural_land_pct,ag_workers_per_100_agricultural_ha
0303,Sacatepéquez,Pastores,Sacatepéquez,Pastores,3900.0000003266646,2022.083299583454,782.678413522407,864,6953,12.426290809722422,51.84828972856626,38.70653665373912,42.7282100681996
0304,Sacatepéquez,Sumpango,Sacatepéquez,Sumpango,5099.999999643133,3414.496215277479,495.848382491748,6318,14512,43.53638368246968,66.95090618659617,14.521860656139367,185.03461716347422
0305,Sacatepéquez,Santo Domingo Xenacoj,Sacatepéquez,Santo Domingo Xenacoj,2499.999999802184,1196.4088840983886,715.4799525055786,828,5615,14.746215494211933,47.856355367722244,59.80229351479305,69.20710895790273
0306,Sacatepéquez,Santiago Sacatepéquez,Sacatepéquez,Santiago Sacatepéquez,4000.0000000848236,2143.6436321764777,379.15144202760087,3829,13232,28.937424425634823,53.5910908032755,17.6872422419692,178.62110765642288
0307,Sacatepéquez,San Bartolomé Milpas Altas,Sacatepéquez,San Bartolomé Milpas Altas,799.9999999206066,313.988949979136,115.184150020723,288,3463,8.31648859370488,39.248618751287104,36.684141282161924,91.72297305976439
0308,Sacatepéquez,San Lucas Sacatepéquez,Sacatepéquez,San Lucas Sacatepéquez,2299.9999995681114,381.6428056128928,60.368518572432,396,10569,3.746806698836219,16.593165464545947,15.818068016632516,103.76194550924404
0309,Sacatepéquez,Santa Lucía Milpas Altas,Sacatepéquez,Santa Lucía Milpas Altas,900.0000002267109,310.431352603478,3.75023044955,854,7000,12.2,34.49237250280889,1.208070775744184,275.10107881752407
0310,Sacatepéquez,Magdalena Milpas Altas,Sacatepéquez,Magdalena Milpas Altas,1400.0000000613384,514.5319092055884,85.667037415859,1132,4639,24.401810735072214,36.75227922736037,16.649509171962656,220.00579162286584
0311,Sacatepéquez,Santa María De Jesús,Sacatepéquez,Santa María de Jesús,6099.999999638336,3355.459592761767,2237.454971169662,4049,8374,48.35204203486983,55.0075343108313,66.68102861367159,120.6690138285171
0312,Sacatepéquez,Ciudad Vieja,Sacatepéquez,Ciudad Vieja,3599.999999855431,2578.203168197389,716.044077515043,1932,14312,13.49916154276132,71.61675467502569,27.77298881436415,74.93590977745959
0313,Sacatepéquez,San Miguel Dueñas,Sacatepéquez,San Miguel Dueñas,4500.000000419547,2355.819610118512,295.25147027875903,1443,5305,27.200754005655043,52.351546886641614,12.53285561469225,61.252567633028924
0314,Sacatepéquez,Alotenango,Sacatepéquez,Alotenango,9000.000000680115,3780.9302302556644,369.95052488253697,2960,8880,33.333333333333336,42.010335888554955,9.784642993994659,78.28761230010443
0315,Sacatepéquez,San Antonio Aguas Calientes,Sacatepéquez,San Antonio Aguas Calientes,500.0000000995087,186.031676529294,180.062941053978,671,5435,12.34590616375345,37.20633529845409,96.79154884443773,360.6912610360414
0316,Sacatepéquez,Santa Catarina Barahona,Sacatepéquez,Santa Catarina Barahona,1099.9999997847576,575.52876133831,400.3580417562,383,2104,18.20342205323194,52.32079649553877,69.56351596143077,66.54749957402444
0401,Chimaltenango,Chimaltenango,Chimaltenango,Chimaltenango,4905.498489017539,1485.657806104169,774.4807506335337,5025,39003,12.883624336589493,30.28556240370411,52.130493808964644,338.2340118534446
0402,Chimaltenango,San José Poaquil,Chimaltenango,San José Poaquil,9651.506702824707,3887.9068147419453,1186.526485222098,4136,9483,43.61488980280502,40.2829002191344,30.518387959379425,106.38115050281938
0403,Chimaltenango,San Martín Jilotepeque,Chimaltenango,San Martín Jilotepeque,40972.21807201705,17795.676384169048,8467.007549598886,7368,16665,44.212421242124215,43.433519642235396,47.57901507543201,41.4033152825511
0404,Chimaltenango,Comalapa,Chimaltenango,Comalapa,8568.504827733226,3829.399667833904,1126.955976106297,7405,21302,34.76199417895033,44.69157390726429,29.42905086592224,193.37234664222527
0405,Chimaltenango,Santa Apolonia,Chimaltenango,Santa Apolonia,4611.497979942524,1900.659775922316,222.756155467101,2929,5644,51.89581856839121,41.21566970622429,11.719938428170613,154.10438191541516
0406,Chimaltenango,Tecpán Guatemala,Chimaltenango,Tecpán Guatemala,24771.334236904546,9988.47973513761,4001.391589705595,12849,29167,44.05321082044777,40.322736109453025,40.0600661543062,128.6381946073296
0407,Chimaltenango,Patzún,Chimaltenango,Patzún,18410.921056063897,7336.472331685787,447.36688477273,10772,21864,49.26820343944384,39.84848074327827,6.097847365150947,146.82806004019633
0408,Chimaltenango,Pochuta,Chimaltenango,Pochuta,12940.647391006883,5417.618006597054,55.921264939880004,870,2593,33.55187042036251,41.86512345867668,1.0322112941847223,16.058718036978572
0409,Chimaltenango,Patzicía,Chimaltenango,Patzicía,6469.471182964284,4311.8857047094925,82.99281134071,7235,12740,56.789638932496075,66.64973972005244,1.9247451584828486,167.79201712368786
