rank_2026_C,department,rainfall_2026_may_aug_mm,historical_median_rainfall_mm_1981_2025,historical_sd_rainfall_mm_1981_2025,z_2026_common_1981_2025,H_2026,agricultural_workers_ine_2018,total_workers_ine_2018,agricultural_dependence_pct,mapped_agricultural_land_ha_maga_2025,ag_workers_per_100_mapped_agricultural_ha,d_dependency_percentile,p_density_percentile,E_structural_exposure,C_impact_2026,z_2015_common_1981_2025,H_2015,C_impact_2015,oxfam_households_with_losses_pct
11,Guatemala,416.2952094351896,827.0072490248505,162.03883751194434,-2.5988458440888835,2.5988458440888835,53776,1323510,4.063135148204396,82594.12955835264,65.10874354818078,4.545454545454546,77.27272727272727,40.90909090909091,106.31642089454525,-1.5030992956736924,1.5030992956736924,61.49042573210559,
12,Totonicapán,328.8476515757819,595.6333181849612,130.48336733946914,-2.173089989828733,2.173089989828733,23983,137217,17.478155039098652,31915.86325326737,75.14445029947531,9.090909090909092,86.36363636363636,47.72727272727273,103.71565860546224,-1.4664246389088849,1.4664246389088849,69.98844867519678,
13,Alta Verapaz,1166.0998964005828,1512.1919474776907,276.5659108321415,-1.4006423030314843,1.4006423030314843,185033,350040,52.86053022511713,562404.5092796071,32.90034075953831,100.0,36.36363636363637,68.18181818181819,95.49833884305576,-1.894790118519731,1.894790118519731,129.19023535361802,38.95
14,El Progreso,361.4858261708935,641.5059126707496,164.33279788103044,-1.975851906030072,1.975851906030072,15027,60496,24.83965882041788,30204.190133214644,49.75137533475946,31.818181818181817,63.63636363636363,47.72727272727273,94.30202278779888,-1.985578312229832,1.985578312229832,94.76623762915108,
15,Quetzaltenango,830.8351608277163,1323.1389707905407,217.9485059003289,-2.399086526790157,2.399086526790157,58843,269819,21.808323357510037,128215.95421402948,45.89366460727191,22.727272727272727,54.54545454545454,38.63636363636363,92.69197944416514,-1.1356829838238167,1.1356829838238167,43.87866073864746,
16,Suchitepéquez,790.647845167702,1549.3138927474513,305.38178636856134,-2.590906535864358,2.590906535864358,49589,176313,28.125549448991283,173830.68780947683,28.527183908028302,36.36363636363637,27.27272727272727,31.81818181818182,82.43793523204776,-1.660201695378417,1.660201695378417,52.82459939840418,
17,Santa Rosa,666.4203941638503,1089.691678327933,211.03923470846445,-2.1730859276042707,2.1730859276042707,44063,132828,33.17297557743849,223687.29523874828,19.698481289681748,50.0,22.727272727272727,36.36363636363636,79.02130645833711,-1.6154287512173806,1.6154287512173806,58.74286368063201,
18,Zacapa,447.2924677268657,819.2691197951492,178.27436748553214,-2.121512932983282,2.121512932983282,23357,82360,28.35964060223409,73862.45906163516,31.622288638548508,40.909090909090914,31.818181818181817,36.36363636363637,77.14592483575571,-2.222052391652134,2.222052391652134,80.8019051509867,
19,Petén,712.1945555186674,908.4824215581932,176.63044852459726,-1.0859948702051472,1.0859948702051472,79433,165088,48.11555049428184,1265133.3342637515,6.278626754090413,86.36363636363636,4.545454545454546,45.45454545454545,49.36340319114305,-1.5399572301085076,1.5399572301085076,69.99805591402307,
20,Retalhuleu,720.7924042978489,1222.780291960545,235.60339464278545,-2.16615982983354,2.16615982983354,24504,100420,24.401513642700657,152812.89413685072,16.035296064778134,27.27272727272727,18.181818181818183,22.727272727272727,49.23090522348954,-1.3041702202278274,1.3041702202278274,29.640232277905167,
21,Escuintla,703.7687504849976,1278.9517808488408,248.53219555275103,-2.549269970551244,2.549269970551244,52812,242551,21.773565147123698,361763.069356781,14.598505064074216,18.181818181818183,13.636363636363637,15.90909090909091,40.556567713315246,-1.5546248747550366,1.5546248747550366,24.732668462011947,
