rank_2026_C,codigo_municipio_4d,department,municipality,rainfall_2026_may_aug_mm,historical_median_rainfall_mm_1981_2025,historical_sd_rainfall_mm_1981_2025,z_2026_common_1981_2025,H_2026,agricultural_workers_ine_2018,total_workers_ine_2018,agricultural_dependence_pct,mapped_agricultural_land_ha_maga_2025,ag_workers_per_100_mapped_agricultural_ha,d_dependency_percentile,p_density_percentile,E_structural_exposure,C_impact_2026,z_2015_common_1981_2025,H_2015,C_impact_2015
57,1505,Baja Verapaz,Granados,350.23041846305864,618.9640753648927,142.413719090397,-2.2561506158419444,2.2561506158419444,1995,4498,44.353045798132506,2890.747816535382,69.01328398791448,63.52941176470588,69.70588235294117,66.61764705882352,150.299445437706,-1.8233025916712453,1.8233025916712453,121.46412853339324
58,1411,Quiché,San Juan Cotzal,802.1573698093695,1285.2905586374538,273.4693459206109,-1.8850420968328083,1.8850420968328083,4549,7808,58.26075819672131,6295.144932206499,72.2620376335885,87.3529411764706,71.76470588235294,79.55882352941177,149.97173152743372,-2.023735325108274,2.023735325108274,161.0060016005259
59,2211,Jutiapa,Comapa,604.752113017416,943.7553912792692,172.44817186352384,-2.1277942374954457,2.1277942374954457,5075,9548,53.1524926686217,8554.606668910044,59.3247614579878,78.82352941176471,62.05882352941177,70.44117647058823,149.88432937651743,-2.402394349114631,2.402394349114631,169.22748429792767
60,1327,Huehuetenango,Aguacatán,482.8976924802376,795.77189438461,171.28723259384532,-1.8705060400142508,1.8705060400142508,8030,15085,53.23168710639708,8508.157220754527,94.38001428102284,79.11764705882352,80.58823529411765,79.85294117647058,149.3654087834909,-1.6543689304178535,1.6543689304178535,132.10622488483742
61,0401,Chimaltenango,Chimaltenango,340.28009547309296,721.4545933597799,154.63552760171504,-2.646433505557511,2.646433505557511,5025,39003,12.883624336589492,1485.657806104169,338.2340118534446,12.647058823529411,99.41176470588236,56.02941176470588,148.2781125907958,-1.2957450271836166,1.2957450271836166,72.59983167014086
62,1102,Retalhuleu,San Sebastián,973.6947762849323,1776.757258399989,291.58789772176715,-2.734910529442101,2.734910529442101,1641,10730,15.293569431500464,1182.3852510559689,138.7872521696672,15.88235294117647,91.76470588235294,53.8235294117647,147.2025373199719,-1.3503448527672124,1.3503448527672124,72.68032589894113
63,2107,Jalapa,Mataquescuintla,525.6260295300139,916.5981113086436,181.87031910664007,-2.2123235877109164,2.2123235877109164,8105,14340,56.52022315202232,17526.315392886183,46.2447457911762,85.0,47.94117647058824,66.47058823529412,147.05445024196092,-1.5909388931188249,1.5909388931188249,105.750644072016
64,1015,Suchitepéquez,Santa Bárbara,795.5759598597785,1586.228800197074,328.517677969249,-2.5519711624117947,2.5519711624117947,4183,7423,56.35187929408595,13363.935010020396,31.300661046791603,84.11764705882354,30.58823529411765,57.352941176470594,146.36305196185293,-1.5066135339675646,1.5066135339675646,86.40871738931621
65,0701,Sololá,Sololá,385.1389290759969,808.9586855901113,172.49984365865305,-2.382474224122782,2.382474224122782,8912,32078,27.782280690816137,6175.435583091668,144.3137067837132,30.294117647058822,92.3529411764706,61.32352941176471,146.10172815576473,-1.510177289991112,1.510177289991112,92.60940145974908
66,0711,Sololá,Santa Catarina Palopó,353.8461151123047,750.4502807696343,152.48686043079613,-2.635373517474724,2.635373517474724,200,1267,15.785319652722968,128.08205562668002,156.14989861104257,16.176470588235293,93.82352941176472,55.0,144.94554346110982,-1.5454516497077948,1.5454516497077948,84.99984073392872
